Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:00, 23.28,  0.03, -0.01,  1.02, -1.99, -3.58,-12.56, -0.59,  1.63, -4.14, -7.47,-26.63; 29.35,  0.02,  0.02,  0.99, -0.88, -2.53, -4.93,  1.05,  1.14, -0.94, -2.80, -5.51
Uptime 00:00:00, 23.24, -0.01,  0.00,  1.03, -2.92,  3.03, -8.50,  0.23, -0.51, -4.41, -6.94,-27.68; 29.35, -0.04, -0.00,  1.00,  1.23, -1.52, -5.41, -0.02, -2.11, -0.77, -2.88, -6.17
Uptime 00:00:00, 23.28,  0.02, -0.01,  1.02,  2.56,  1.25,-13.33, -0.79,  1.18, -4.02, -6.67,-29.34; 29.45, -0.03,  0.00,  1.01, -2.31,  1.41,-10.64,  0.03, -1.44, -1.04, -2.62, -7.50
Uptime 00:00:00, 23.33, -0.10, -0.04,  1.01, -0.31,  9.00,  5.27, -2.27, -5.88, -4.03, -5.34,-28.70; 29.54, -0.07, -0.03,  0.99, -1.00,  4.77, -2.07, -1.70, -4.13, -1.17, -1.91, -7.76
Uptime 00:00:00, 23.28, -0.02, -0.03,  1.04, -1.42,  3.37,  3.30, -1.58, -1.18, -4.15, -4.80,-28.29; 29.54, -0.08, -0.01,  1.04, -0.97,  6.40, -0.25, -0.29, -4.26, -1.27, -1.01, -7.79
Uptime 00:00:00, 23.28, -0.08, -0.03,  1.05, -1.15, -8.92,  9.03, -1.88, -4.26, -4.25, -5.72,-27.15; 29.64, -0.08, -0.03,  1.00,  3.67, -2.00,  9.17, -1.47, -4.42, -0.82, -1.15, -6.63
Uptime 00:00:00, 23.38,  0.01, -0.05,  0.94,  0.67, -0.48, 13.19, -2.98,  0.39, -4.14, -5.67,-25.53; 29.64, -0.08,  0.00,  0.96,  0.21,  6.90, 12.20,  0.28, -4.94, -0.78, -0.20, -5.13
Uptime 00:00:00, 23.28,  0.03,  0.01,  0.99,  1.80, -9.03,  0.99,  0.45,  1.97, -3.83, -6.68,-25.40; 29.73, -0.03,  0.01,  1.00,  3.49, -2.14,  9.30,  0.84, -1.59, -0.32, -0.42, -3.99
Uptime 00:00:00, 23.33,  0.06, -0.05,  1.03,  7.05, 12.99,  5.62, -2.55,  3.15, -2.94, -5.01,-24.70; 29.68, -0.03,  0.00,  0.97, -5.15,  8.00,  7.06,  0.14, -1.92, -0.95,  0.62, -3.10
Uptime 00:00:01, 23.38,  0.05, -0.00,  1.04,  4.45, -3.62, -3.75, -0.12,  2.57, -2.34, -5.40,-25.16; 29.73, -0.01,  0.02,  1.00,  3.66,  3.61,  3.75,  0.90, -0.80, -0.47,  1.06, -2.63
